Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.2018,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18
DIELON_WM,7,,,,,damage!,9-DMG,9-D,9-D,11-D,11-D,11,15,17,17,19,19,,,,,,,,,,,,,,,,,,,,51,51,60,60,100,100,100,100,101,
SORAME_GR_9C,7,,,,,,,7,7,9,9,9,9,9,9,15,17,17,19,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,101
SAMRAC_GR_7A,7,",1",",1",",7",",7",dmg!,"51,11-DMG","51,11,DMG","51,11,D","51,11,D","51,15-D","51,15-D","55,15",55,"55,19","59,19","65,19",67,67,67,69,72,75,78,78,79,89,89,89,89,89,,,,,100,100,100,100,100,101,,,,,
ACESPI_GR_6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_HF_1A,7,,,,",7",dmg,9-DMG,11-DMG,11-D,11-D,15-D,15,15,17,19,19,19,,,,,,,,60,62,67,69,71,71,71,73,"67,73",74,"67,74",67,65,67,67,69,72,72,79,79,"75, 100","81,100"
DIELON_GR_5A,7,,,,",7",dmg,9-DMG,9-DMG,9-D,11-D,11-D,11,15,15,17,17,17,19?,,,,,,,61,63,69,69,,,,,,,,67,67,67,67,67,71,71,71,"72,100","72,101",76
DIELON_HF_4,7,,,,,,,,9,11-D,11-D,11,15,17,17,19,19,,19,,,,,,,,,,,,,,,59,59,61,67,69,71,71,74,74,76,76,"76, 100","74,100"
SORAME_SH_3,7,,,,,,,,,,,9,9,9,9,15,17,19,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,101,,,,,
SORAME_GR_9D,7,,,,,7,7,7,7,9,X,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,101
DIELON_HF_3,7,,,,,,7,9-D,9-D,9-D,11-D,11,15,15,19,,19,,,,,,,,62,67,67,67,67,71,67-71,71,71,75,76,77,"67,77","67,79","67,79","67,79",74,74,76,"78,100","76,100","71,87,100"
DIELON_GR_5B,7,,,,",7",7,7,9-D,11-D,11-D,11,11,15,17,19,,19,,,,,,,,,63,67,69,71,72,67-71,71,"67,71",72,"67,72","67,72","65,72",75,"67,75","67,74",74,74,78,"79,100","77,100","79,100"
SORAME_GR_9A,7,,,,,,7,9,9,9,9,11,11,11,11,17,17,19,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,,,
DIELON_SH_4,7,,,,,,,,,,9,9,11,15,17,19,19,,,,,,,,63,65,67,67,67,69,67,69,"67,71",71,"67,71","67,71","67,71","67,74","67,75","67,75",75,75,78,79,"79,100","81,100"
DIELON_GR_5C,7,,,,,,,,,,9,9,11,15,17,19,19,,,,,,,,,,,,,,,72,"67,72",72,72,73,"67,73",73,74,75,78,78,79,79,"77,100","79,100"
DIELON_HF_2,7,,,,,,,,,,,9,11,15,X,,19,,,,,,,62,65,67,67,67,67,69,67,69,"67,71",73,73,73,73,74,76,77,"67,78","55,78","65,79","67,79","69,79,100","69,82,100"
DIELON_HF_1B,7,,,,",7",7,9,9-D,11-D,11-D,11-D,11,11,15,19,,19,,,,,,,,61,63,67,69,67,69,67,71,71,74,"67,74","67,74","67,74",74,,,75,75,78,78,"69,79,100","69,81,100"
ACESPI_GR_4,7,,,,,,,7,7,9,9,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100
SORAME_GR_9B,7,,,,,7,7,7,7,9,9,11,11,11,11,17,17,19,,,51,55,57,61,65,67,69,71,74,78,78,79,"79,100","79, 100","79,100","79,100","81,100","81,100","81,100","81,10","82,100","82,100","82,100","82,100","85,101",85
ACESPI_SH_2,7,,,,,,,7,7,7,,9,9,9,9,15,15,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_GR_7B,7,",1",",1",",1",",1",dmg,9=DMG,9-D,9-D,11-D,11-D,11,"55,15",55,"55,17","59,19","63,19",67,67,67,69,72,75,77,77,79,79,79,89,89,89,,,,,100,100,100,100,100,100,100,100,101,,
ACESPI_WM_1,7,,,,,,,7,7,9,9,11,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100
SAMRAC_GR_4,7,",1",",1",",1",",7",dmg,9-DMG,11-DMG,11-D,"51.11,D","51,15-D","51,15","55,15",55,"55,19","60,19","65,19",67,67,67,69,75,77,78,78,79,79,79,89,89,89,,,,,100,100,100,100,100,100,100,100,101,,
SAMRAC_GR_9,7,",9",",9","51,11","51,11",dmg,"51,11-DMG","51,11,D","51,15-D","51,15,D","51,15-D","51,15","55,15",55,"55,15","59,19","65,19",67,69,,72,75,77,78,78,79,79,89,89,89,89,,,,,100,100,100,100,100,100,100,100,101,,
VIBCAS_SH_1A,8,,,,",15",,,9-D,15,11,11,11,15,15,19,,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,101,
AROMEL_HF_4,8,,,,,7,7,7,9,9,9,11,"51,11","51,11","51,15","55,19","51,19",55,65,67,67,69,72,78,78,78,78,78,78,79,79,79,79,79,79,"79,100","79,100","79,100","81,100","81,100","81,101","81,101",81,81,82,82
VIBCAS_SH_5A,8,,,,,,,,,,,9,11,11,"51,17","55,19","55,19",55,55,55,55,55,57,65,65,67,59,69,71,72,74,77,77,"79, 100","79,100","79,100","79,100","79,100","79,100","79,100","81,100","81,100","81,101",81,83,83
MYRGAL_WM_6A,8,,,,,61-M,61-M,69-M,,,69-M,,11,15,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,"100,100-m","101,100-m",101-m,,,,
VIBCAS_WM_4,8,,,,,,,,,,,,9,11,17,19,"51,19",55,55,,55,55,60,67,69,71,71,71,71,71,71,74,75,"77, 100","77,100","77,100","78,100","78,100","79,100","79,100","81,101",81,81,81,8,82
MYRGAL_SH_1,8,,,,,61-M,63-M,65-M,67-M,69-M,69-M,,9,11,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,101,"101,101-m",,,,,,,
VIBCAS_SH_5B,8,,,,,,,,15-D,11,11,11,15,15,17,19,19,,,,,,,,,,,,,,,,,100,100,101,,100,100,100,101,,,,,
AROMEL_HF_10,8,,,,,7,7,9,9,9,9,11,"51,11","51,11","51,17","55,19","55,19",55,65,67,67,69,72,75,76,76,77,77,77,79,79,79,79,79,"79,100","79,100","79,100","79,100","81,100","81,100","82,100","82,100","82,100","83,100","83,101",84
AROMEL_WM_7,8,,,,,,7,9,9,9,11,11,15,15,"51,17","55,19","55,19",55,65,67,67,67,69,72,74,75,76,76,77,79,79,79,79,79,"79,100","79,100","79,100","79,100","87,100","89,100","89,101",89,88,88,89,89
SPIALB_WM_7A,8,,,,,7,9,11,11,11,11,15,15,15,19,19,19,,,,,,,51,51,55,55,59,61,65,67,67,67,71,"67,71",71,71,71,73,73,77,77,81,85,85,85
VIBCAS_GR_12A,8,,,",15",",15",,15,9,9,9,11,11,15,15,17,19,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,
SPITOM02_GR_A,,,,,,,,,9,11,11,11,15,15,17,17,17,17,19,,,,,,,51,51,51,51,55,55,59,59,64,67,69,71,71,71,71,74,74,78,79,"69,79","69,81"
SPITOM_GR_2B,8,,,,,,,9,9,11,11,11,15,15,17,17,17,19,,,,,,,,,51,55,55,55,55,57,59,65,67,67,67,67,71,71,74,74,78,79,"69,79",77
SPITOM_WM_4A,8,,,,,,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,,,,,,51,55,57,59,61,67,67,67,67,69,71,74,74,78,79,79,81
SPITOM_HF_6A,8,,,,,,7,7,7,7,9,11,11,11,15,17,17,17,,,,,,,,,,,,,51,55,55,61,67,67,67,67,69,71,74,74,79,81,81,84
SPIALB_GR_12A,8,,,,,9,11,11,11,11,11,15,15,17,19,19,19,,,,,,,,,51,51,55,55,57,57,59,64,67,67,67,67,67,67,67,72,72,79,81,81,84
VIBCAS_SH_5C,8,,,,,,,9,,9,9,11,11,15,17,19,19,,,,,,,,,,,,,,,,,100,100,101,101,,,,,,,,,
SPIALB_GR_5,8,,,,,7,7,9,9,11,11,11,15,15,17,19,19,,,,,,,,51,55,55,57,59,60,60,65,65,69,69,69,67,67,67,69,72,73,74,75,"69,75","67,81"
SPITOM_GR_2C,8,WHERE,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,,51,51,51,51,55,55,57,57,,,,,,,,,,,,,
SPITOM_HF_4,8,,,,,7,9,9,11,11,11,11,11,15,17,19,19,,,,,,,,,,,,51,55,55,57,60,65,65,67,67,67,67,67,72,72,78,79,79,81
SPITOM_HF_9A,8,,,,,,,,9,11,11,15,15,17,19,19,19,,,,,,,,,51,51,55,55,59,,,59,59,64,65,67,67,67,67,72,72,77,81,81,81
SPIALB_WM_7B,8,,,,,,9,11,11,11,11,11,15,15,17,17,19,,,,,,,,,,51,51,55,55,55,57,64,67,67,67,71,71,71,74,75,75,77,79,79,82
SPITOM_GR_2D,8,,,,,,9,11,11,11,11,11,15,15,17,17,17,19,,,,,,,,,,,,51,55,57,57,61,65,67,67,67,67,69,71,72,78,79,79,81
SPITOM_GR_2E,8,,,,,,9,11,11,11,11,11,15,15,17,17,17,19,,,,,,,,,,,,51,55,57,57,61,65,67,67,69,71,71,74,74,78,79,79,81
SPITOM_WM_5,8,,,,,,9,11,,11,1,11,15,15,17,19,19,,,,,,,,,,,,,,55,55,57,64,65,67,67,67,71,71,74,74,78,81,81,84
SPIALB_GR_12B,8,,,,,7,9,9,9,11,11,11,15,17,17,19,19,,,,,,,,,51,55,55,59,60,61,62,57,67,67,67,67,67,67,69,72,72,78,81,81,84
SPIALB_GR_3,8,,,,,7,7,9,11,11,11,11,15,17,19,19,19,,,,,,,,51,55,55,55,60,61,65,67,67,71,71,71,71,71,72,72,74,75,78,81,83,"69,84"
MYRGAL_SH_2,8,,,,,55-M,60-M,62-M,62-M,65-M,65-M,67,69,11,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,"100,100-m","100,100-m","101,100-m",100-m,101-m,,,
VIBCAS_GR_12B,8,,,,,,15-DMG,9(LOW DMG),15-D,11,11,11,15,17,19,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,101,,,
SPITOM_WM_4B,8,,,,,,7,9,9,11,11,11,11,15,17,19,19,,,,,,,,,,,,51,55,55,57,57,64,65,67,67,67,69,71,74,74,78,81,81,84
SPITOM_HF_13,8,,,,,,7,7,7,9,11,11,11,15,17,19,19,,,,,,,,,51,,,51,51,55,57,57,59,63,65,67,67,67,69,71,72,78,81,81,85
SPIALB_HF_2,8,,,,,7,9,9,9,11,11,11,15,15,17,19,19,,,,,,,,,,51,55,55,57,59,62,65,67,67,67,67,67,67,67,72,72,77,81,81,84
SPIALB_SH_7A,8,,,,,7,7,9,9,11,11,11,15,17,19,19,19,,,,,,,,,,,,51,57,57,59,59,62,67,67,67,67,67,69,72,72,77,81,82,82
VIBCAS_WM_9A,8,,,,,,,9,9,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,
VIBCAS_GR_5,8,,,,,,,,,,,9,11,15,17,17,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,
SPITOM_GR_1,8,,,,,,,7,7,9,11,11,11,15,17,19,19,,,,,,,,,,,,51,55,55,57,57,61,67,67,67,69,71,71,72,72,77,79,81,85
VIBCAS_SH_1B,8,,,,,,,9,9,11,11,11,11,11,17,17,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,
SPITOM_HF_6B,8,,,,,,,7,9,11,11,11,11,15,17,19,19,,,,,,,,,51,51,51,51,55,55,57,57,59,65,67,67,67,67,67,71,71,75,78,82,85
VIBCAS_WM_9B,8,,,,,,9,9,9,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,101,,,
SPIALB_HF_3,8,,,,,7,7,9,9,11,11,15,15,17,19,19,19,,,,,,,,,55,59,61,61,62,63,65,67,67,67,69,71,71,73,73,74,74,78,79,"69,81","69,83"
SPIALB_GR_9,8,,,,,7,9,11,11,11,11,15,15,17,19,19,19,,,,,,,,51,55,55,57,57,59,60,64,67,69,71,71,71,71,73,73,75,75,78,81,81,84
SPIALB_SH_7B,8,,,,,9,11,11,11,11,11,15,15,17,19,19,19,,,,,,,,,51,55,57,59,60,61,67,67,71,71,71,71,71,71,71,76,76,78,79,81,81
SPITOM_HF_9B,8,,,,,,7,9,11,11,11,11,11,15,17,19,19,,,,,,,,,,,51,51,55,55,57,57,64,65,67,67,67,67,69,71,71,74,77,79,81
MYRGAL_WM_6B,8,,,,,,,,,7,7,9,11,15,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,"100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","101m,100",101,
ACEPEN_WM_5,9,,,,,,,,,,,7,7,,,/?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC_SH_8,9,,,,,,,,7,9,9,9,11,11,15,19,19,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","101,100-m",101-m
BETPOP_WM_7,9,,,,,,,,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100
BETALL_WM_8,9,,,,,7,7,7,7,9,9,9,9,9,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,101,
BETALL_SH_9,9,,,,,,,,,7,7,9,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101
BETALL_SH_5,9,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,101,
BETALL_WM_9,9,,,,,,,,,,,7,9,9,,19,19,,17,19,,,,,,,,,,,,,,,,,,,,,,,100,101,,
ACEPEN_WM_5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_GR_9,9,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,dead,,,
ALNINC_HF_9,9,"51-M,","51-M,","51-M,","51-M,",67-M,67-M,69-M,,,,9,11,11,"69-F,15",17,19,,,,,,,,71,75,75,76,76,77,78,79,79,81,81,"81,100-m","81,100","81,100-m","81,100-m","81,100-m","84,100-m","84,100-m","88,100-m,100","89,100-m,101","89,100-m","89,100-m"
BETALL_SH_4A,9,,,,,7,7,7,7,9,9,9,11,11,11,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETALL_SH_4B,9,,,,,,,,,7,9,9,11,11,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101
QUERUB_WM_9,9,,,,,,,,,,,,7,9,9,11,11,15-D,15,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,101,,
BETPOP_HF_4,9,,,,,,,,,,,7,9,11,11,"65-M/F,19","69-M,65-F,19",69-F,,,,,,71,71,72,72,75,76,78,78,79,79,81,81,81,81,81,"81,100-m","81,100-m","85,100-m","85,100-m","88,100-m","88,100-m,100","89,100,100-m","89,100-m,100"
ACESPI_GR_4,10,,,,,,,,7,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_HF_A,10,",11",",11",",11",",11",11,11,11-DMG,11-D,11-D,15-D,15,15,15,17,19,19,,,,,,,,51,55,55,57,60,65,65,67,67,71,71,71,71,73,76,76,"81,100","89,100","89,100","89,100","90,101",
ACESPI_SH_2A,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACESPI_SH_2B,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_SH_12,10,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_GR_5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORAME_GR_9A,10,,,,,,,,,,,,,,,,,,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_HF_1,10,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_GR_7,10,",11",",11",",11",",11ROOT",12-DMG,11DMG,DEAD,,,,,,,15,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACESPI_SH_9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORAME_SH_3A,10,,,,,,,7,,,,7,9,9,9,11,15,17,17,19,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,101,,,
DIELON_SH_4,10,,,,,,,,,,,,9,11,15,17,17,17,19,,,,,,,61,69,,,,,,,,,,,,,,,,,,,
SORAME_SH_3B,10,,,,,,,,,,,,7,,,11,17,"51,19",15,"55,19",55,57,57,59,65,67,67,69,,,,,71,72,72,72,72,73,74,74,77,77,78,78,79,82
SAMRAC_GR_4,10,",7",",9",ROOT,ROOT,,,,,,,,,,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_HF_B,10,",11",",11",",11",",11",11,11,11-DMG,11-D,15-D,15-D,15,15,15,17,19,19,,,,,,,,,,,,55,60,65,68,68,71,71,71,71,73,75,75,77,77,78,81,88,89
SORAME_SH_3B,10,,,,,,,,,,,,,,,,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_GR_8,10,,,,,,11-DMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_GR_1,10,,,,,,,,,,,,,,,,15,17,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_SH_4,10,,,,,,,,,,9-D,9,11,11,15,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORAME_GR_9B,10,,,,,7,,7,,9,9,,9,11,11,17,17,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,101,
DIELON_SH_2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_GR_8A,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIELON_GR_8B,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM_SH_99A,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL_WM_6A,11,,,,,,,60-M,60-M,60-M,60-M,65,"67,9","69,11",15,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,"100,100-m","100,100-m","100,100-m","100,101-m",101,,,
SPITOM_GR_1A,11,,,,,,7,7,7,9,11,11,11,15,17,19,19,,,,,,,,,,,51,55,55,55,59,59,64,67,67,67,67,69,71,74,74,78,79,79,81
SPIALB_HF_10,11,,,,,,7,9,9,11,11,15,15,15,17,19,19,,,,,,,,,55,55,55,55,57,57,62,65,67,67,67,67,67,67,67,69,71,74,77,77,81
VIBCAS_WM_4,11,,,,,,,9,9,9,11,11,15,15,17,"51,19","51,19",55,55,55,55,55,57,65,65,67,69,71,71,72,74,77,78,"79, 100","79,100","79,100","79,100","79,100","81,100","81,100","82,101",82,84,85,85,85
SPIALB_HF_4A,11,,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,,,55,55,55,60,60,62,67,67,67,67,71,72,73,73,75,75,81,81,81,84
SPIALB_WM_4A,11,,,,,7,11,11,11,11,11,11,15,15,19,19,19,,,,,,,,,51,55,57,57,59,59,62,67,67,67,67,71,72,73,73,74,74,79,81,81,82
MYRGAL_WM_6B,11,,,,,,,,,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,
SPITOM_SH_99B,11,,,,,,,7,7,9,9,11,11,15,17,19,19,,,,,,,,,,,,51,55,55,57,59,64,65,65,67,67,69,71,74,74,79,79,79,82
SPITOM_SH_99C,11,,,,,,,7,7,9,9,11,11,15,17,19,19,,,,,,,,,,,,,51,55,55,59,62,65,65,67,67,69,71,74,74,78,79,79,82
SPITOM_HF_5,11,,,,,,,,,,,,9,9,11,15,15,17,17,,19,,,,,,,,,,51,55,55,57,57,62,67,67,67,67,69,71,77,79,81,84
SPIALB_WM_4B,11,,,,,,9,11,11,11,11,15,15,15,19,,19,,,,,,,,,51,55,57,57,62,64,67,67,67,67,67,71,72,72,72,76,76,77,79,79,82
SPIALB_WM_4C,11,,,,,7,9,9,11,11,11,11,15,15,19,,19,,,,,,,51,51,55,55,55,59,65,65,67,67,71,"67,71","67,71",71,72,75,75,76,76,78,79,79,82
SPITOM_SH_99D,11,,,,,,,,,,9,11,11,15,17,19,19,,,,,,,,,,,,51,51,55,57,57,59,61,64,65,67,69,71,72,72,79,81,81,84
SPIALB_WM_5,11,,,,,,,,,,,9,11,15,17,19,19,,,,,,,,,,,51,55,57,57,59,62,67,67,67,67,69,72,73,74,74,76,81,81,82
SPIALB_WM_2B,11,,,,,,,,,,,,,,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,59,59,61
SPIALB_WM_2A,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS_WM_9A,11,,,,,,,,,,,9,9,11,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,101,,,
SPITOM_SH_99E,11,,,,,,,7,7,9,11,11,11,15,17,19,19,,,,,,,,,,,,51,55,55,57,57,64,65,65,67,67,67,67,69,67,71,75,79,79
SPIALB_HF_4B,11,,,,,,9,9,9,11,11,11,15,15,17,19,19,,,,,,,,,,55,55,55,57,57,59,61,67,67,67,69,71,72,73,74,74,77,77,81,82
VIBCAS_WM_9B,11,,,,,,,,,,,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,
SPITOM_SH_99F,11,,,,,,7,9,9,11,11,11,11,15,17,19,19,,,,,,,,,,,,51,51,55,57,57,60,63,65,65,67,67,69,71,72,77,79,79,"69,81"
AROMEL_WM_5,11,,,,,,,9,9,9,9,11,11,15,15,"55,19","55,19",51,62,65,67,69,71,72,72,72,72,72,72,72,76,77,77,79,"79,100","79,100","79,100","88,100","89,100","89,100","90,100","89,100",100,"90,100",101,
VIBCAS_SH_9,11,,,,,,,9,9,11,11,11,15,15,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,
VIBCAS_GR_10,11,,,,,,,,15-D,11,11,11,15,15,19,19,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,
SPITOM_GR_1A,11,,,,,,7,,9,9,9,11,11,15,17,19,19,,,,,,,,,,,,51,55,55,59,59,64,65,67,67,69,71,72,74,74,77,79,81,84
SPITOM_GR_1B,11,,,,,,7,,9,9,9,11,11,15,17,19,19,,,,,,,,,,,,51,55,55,59,61,64,67,67,69,71,71,72,74,74,77,79,81,84
SPITOM_HF_6,11,,,,,,,,,,,,,,,,,,11,,15,15,,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,"55,17","60,17",69,71,75,77,77,82
AROMEL_HF_8A,11,,,,,,,,,,,,,,,,,,"65,19",67,67,69,71,72,75,77,77,77,78,79,79,79,79,79,79,"79,100","79,100","79,100","81,100","81,100","81,100","81,100","81,101",85,85,85
AROMEL_HF_8B,11,,,,,,,,,,,,,,,,"65,17","65,17","65,17","67,19",67,69,71,72,74,75,75,75,76,79,79,81,79,79,"79,100","79,100","79,100","79,100","81,100","81,100","85,100","85,10","85,101",85,85,85
VIBCAS_WM_10,11,,,,,,,9,9,9,9,11,15,15,19,,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,
AROMEL_HF_12,11,,,,,,,,,,,,,,,,,,"65,19",67,69,71,72,75,15,77,77,78,78,79,79,79,79,79,"79,100","79,100","79,100","79,100","79,100","81,100","85,100","85,100","85,101",85,85,86
ALNINC_SH_1,12,"65-M,","67-M,","69-M,",,,,,,,7,9,11,11,"67-F,15","19,FRUIT(dans think last years)",19,,,,,,,72,72,75,75,76,76,77,78,79,"79,100-m","79,100-m","79,100-m","79,100-m","81,100-m","81,100-m","81,100-m","81,100-m","81,100-m","81,100-m","85,100-m,100","88,100-m,100","101,100-m,88","88,100-m"
ACEPEN_WM_5,12,,,,,,,7,DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEPEN_HF_12,12,,,,,,,,7,7,7,9,9,9,9,11,"55,15","55,19",65,65,67,72,74,75,75,78,78,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101
BETPOP_GR_5A,12,,,,,,,,,7,7,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
QUERUB_WM_9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP_GR_5B,12,,,,,,,,,7,7,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
ALNINC_HF_8,12,"51-M,","51-M,","69-M,",,,,,,,7,9,11,11,"69-F,15",19,19,,,,,,,71,72,72,73,73,74,75,76,77,"79,100-m","79, 100","79,100-m","79,100-m","79,100-m","79,100-m","81,100-m","81,100-m","88,100-m","81,100-m","85,100-m,100","88,100-m,100","100-m,101,88","88,100-m"
BETPAP_HF_16,12,,,,,,,,,7,7,9,11,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
BETALL_WM_8A,12,,,,,,,7,7-D,7-D,7-D,9,9,11,11,17,17,17,,,19,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETPAP_GR_8,12,,,,,,,,,7,7,9,9,11,11,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,101,
BETPOP_GR_5C,12,,,,,,,,,,,,9,11,15,19,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,,100,100,100,100,101
BETALL_WM_8B,12,,,,,7,,9,9,9,9,9,11,11,11,17,17,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100
SAMRAC_HF_A,13,",9",",9",",9",",9",11-D,11-DMG,11-DMG,11,11,15,15,15,15,17,19,19,,,,,,55,57,57,59,59,59,61,67,67,67,67,71,"67,71",71,72,74,75,76,78,88,89,89,"89,100","90,100"
VACMYR_WM_5,13,,,,,,,,,,,7,9,9,"51,9","60,15","65,17","67,19",67,69,67,69,,,,,,,,,,,,100,100,100,100,101,,,,,,,,
DIELON_WM_1A,13,,,,",9",11-D,11-DMG,11-D,11,11,11,15,15,15,19,,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,101,
SAMRAC_HF_B,13,",9",",9",",9",",9",11,11,11-D,11,11,15,15,15,15,17,19,19,,,,51,55,55,57,57,59,59,59,62,67,67,67,67,72,"67,72","69,72",72,75,75,76,78,89,89,89,"89,100","90,100"
VACMYR_GR_10A,13,,,,,,,,,,,,9,9,9,,,,,,71,72,72,72,75,75,78,78,89,,,,,,,,,,,,,,,,,
DIELON_HF_2A,13,,,,,7,7,9-D,9-D,9,9,9,9,11,15,17,17,17,17,17,"51,19",55,55,57,62,65,65,67,67,71,67-61,71,"67,71",69,71,71,75,78,78,78,81,81,84,85,"85,100","85,100"
