"Individual","Plot","ht.diff","rgr","ind_plot","spp","year","provenance.lat","provenance.long","budburst","leafout","risk","bb.avg","dvr.avg","lo.avg","lo.sd","growthform"
"BETPAP_SH_1B",1,242.44,9.38481705182634,"BETPAP_SH_1B 1","BETPAP",2019,45.932675,-74.02507,107,119,12,107,14.5,121.5,3.53553390593274,"tree"
"BETPAP_SH_1B",1,242.44,9.38481705182634,"BETPAP_SH_1B 1","BETPAP",2018,45.932675,-74.02507,107,124,17,107,14.5,121.5,3.53553390593274,"tree"
"ALNINC_WM_2B",1,185.01,7.0809613331795,"ALNINC_WM_2B 1","ALNINC",2019,44.112337,-71.230138,103,119,16,103,18.5,121.5,3.53553390593274,"tree"
"ALNINC_WM_2B",1,185.01,7.0809613331795,"ALNINC_WM_2B 1","ALNINC",2018,44.112337,-71.230138,103,124,21,103,18.5,121.5,3.53553390593274,"tree"
"ALNINC_SH_4",2,140.65,4.28924755136623,"ALNINC_SH_4 2","ALNINC",2019,45.932675,-74.02507,100,123,23,103.5,20,123.5,0.707106781186548,"tree"
"ALNINC_SH_4",2,140.65,4.28924755136623,"ALNINC_SH_4 2","ALNINC",2018,45.932675,-74.02507,107,124,17,103.5,20,123.5,0.707106781186548,"tree"
"ALNINC_SH_5",2,120.25,6.57151554879817,"ALNINC_SH_5 2","ALNINC",2019,45.932675,-74.02507,97,129,32,105.5,21,126.5,3.53553390593274,"tree"
"ALNINC_SH_5",2,120.25,6.57151554879817,"ALNINC_SH_5 2","ALNINC",2018,45.932675,-74.02507,114,124,10,105.5,21,126.5,3.53553390593274,"tree"
"BETPAP_GR_5A",2,170.4,10.4808148002089,"BETPAP_GR_5A 2","BETPAP",2019,44.794942,-71.146683,112,127,15,106,19.5,125.5,2.12132034355964,"tree"
"BETPAP_GR_5A",2,170.4,10.4808148002089,"BETPAP_GR_5A 2","BETPAP",2018,44.794942,-71.146683,100,124,24,106,19.5,125.5,2.12132034355964,"tree"
"BETALL_GR_13",2,10,0.764313801067971,"BETALL_GR_13 2","BETALL",2019,44.794942,-71.146683,107,123,16,110.5,15,125.5,3.53553390593274,"tree"
"BETALL_GR_13",2,10,0.764313801067971,"BETALL_GR_13 2","BETALL",2018,44.794942,-71.146683,114,128,14,110.5,15,125.5,3.53553390593274,"tree"
"ALNINC_WM_5A",2,39.2,1.63424316612588,"ALNINC_WM_5A 2","ALNINC",2019,44.112337,-71.230138,100,123,23,100,23.5,123.5,0.707106781186548,"tree"
"ALNINC_WM_5A",2,39.2,1.63424316612588,"ALNINC_WM_5A 2","ALNINC",2018,44.112337,-71.230138,100,124,24,100,23.5,123.5,0.707106781186548,"tree"
"BETPAP_HF_16",2,257.8,8.30374045743707,"BETPAP_HF_16 2","BETPAP",2019,42.531705,-72.18992,107,115,8,105,14.5,119.5,6.36396103067893,"tree"
"BETPAP_HF_16",2,257.8,8.30374045743707,"BETPAP_HF_16 2","BETPAP",2018,42.531705,-72.18992,103,124,21,105,14.5,119.5,6.36396103067893,"tree"
"BETPOP_HF_5",2,91.6,9.53902002619938,"BETPOP_HF_5 2","BETPOP",2019,42.531705,-72.18992,103,115,12,103,16.5,119.5,6.36396103067893,"tree"
"BETPOP_HF_5",2,91.6,9.53902002619938,"BETPOP_HF_5 2","BETPOP",2018,42.531705,-72.18992,103,124,21,103,16.5,119.5,6.36396103067893,"tree"
"BETPOP_WM_7",2,261.6,8.07968504722,"BETPOP_WM_7 2","BETPOP",2019,44.112337,-71.230138,103,119,16,106.5,15,121.5,3.53553390593274,"tree"
"BETPOP_WM_7",2,261.6,8.07968504722,"BETPOP_WM_7 2","BETPOP",2018,44.112337,-71.230138,110,124,14,106.5,15,121.5,3.53553390593274,"tree"
"ACEPEN_WM_5",2,4,0.344861760711694,"ACEPEN_WM_5 2","ACEPEN",2018,44.112337,-71.230138,103,131,28,103,28,131,NA,"tree"
"BETPAP_GR_5B",2,1.7,0.512932943875506,"BETPAP_GR_5B 2","BETPAP",2019,44.794942,-71.146683,100,155,55,101.5,45,146.5,12.0208152801713,"tree"
"BETPAP_GR_5B",2,1.7,0.512932943875506,"BETPAP_GR_5B 2","BETPAP",2018,44.794942,-71.146683,103,138,35,101.5,45,146.5,12.0208152801713,"tree"
"ALNINC_HF_9",2,84.4,2.92705693988321,"ALNINC_HF_9 2","ALNINC",2019,42.531705,-72.18992,100,129,29,105,23.5,128.5,0.707106781186548,"tree"
"ALNINC_HF_9",2,84.4,2.92705693988321,"ALNINC_HF_9 2","ALNINC",2018,42.531705,-72.18992,110,128,18,105,23.5,128.5,0.707106781186548,"tree"
"BETPOP_HF_1",2,144.6,5.51729081363152,"BETPOP_HF_1 2","BETPOP",2019,42.531705,-72.18992,103,119,16,105,16.5,121.5,3.53553390593274,"tree"
"BETPOP_HF_1",2,144.6,5.51729081363152,"BETPOP_HF_1 2","BETPOP",2018,42.531705,-72.18992,107,124,17,105,16.5,121.5,3.53553390593274,"tree"
"AMECAN_GR_10",2,-18.6,-1.93750252617577,"AMECAN_GR_10 2","AMECAN",2019,44.794942,-71.146683,112,135,23,104,25.5,129.5,7.77817459305202,"shrub"
"AMECAN_GR_10",2,-18.6,-1.93750252617577,"AMECAN_GR_10 2","AMECAN",2018,44.794942,-71.146683,96,124,28,104,25.5,129.5,7.77817459305202,"shrub"
"ALNINC_WM_5B",2,131.8,5.22207019256137,"ALNINC_WM_5B 2","ALNINC",2019,44.112337,-71.230138,103,119,16,108.5,15,123.5,6.36396103067893,"tree"
"ALNINC_WM_5B",2,131.8,5.22207019256137,"ALNINC_WM_5B 2","ALNINC",2018,44.112337,-71.230138,114,128,14,108.5,15,123.5,6.36396103067893,"tree"
"BETALL_GR_9",3,135.1,6.61756840966276,"BETALL_GR_9 3","BETALL",2019,44.794942,-71.146683,103,127,24,108.5,19,127.5,0.707106781186548,"tree"
"BETALL_GR_9",3,135.1,6.61756840966276,"BETALL_GR_9 3","BETALL",2018,44.794942,-71.146683,114,128,14,108.5,19,127.5,0.707106781186548,"tree"
"BETPAP_HF_16",3,222.1,12.450976483056,"BETPAP_HF_16 3","BETPAP",2019,42.531705,-72.18992,103,119,16,106.5,15,121.5,3.53553390593274,"tree"
"BETPAP_HF_16",3,222.1,12.450976483056,"BETPAP_HF_16 3","BETPAP",2018,42.531705,-72.18992,110,124,14,106.5,15,121.5,3.53553390593274,"tree"
"AMECAN_GR_10A",3,57.6,4.92968006365984,"AMECAN_GR_10A 3","AMECAN",2019,44.794942,-71.146683,97,112,15,95,23,118,8.48528137423857,"shrub"
"AMECAN_GR_10A",3,57.6,4.92968006365984,"AMECAN_GR_10A 3","AMECAN",2018,44.794942,-71.146683,93,124,31,95,23,118,8.48528137423857,"shrub"
"ALNINC_GR_11A",3,252.2,12.8993979479766,"ALNINC_GR_11A 3","ALNINC",2019,44.794942,-71.146683,97,112,15,100,18,118,8.48528137423857,"tree"
